,Sample_ID,Population,Group,Lat,Long,Length (mm),CRT_ELAI,IRT_ELAI,RBT_ELAI,WCT_ELAI,YCT_ELAI
Lower Kootenai R,,,,,,,,,,,
,S17mile_23_153,Seventeen_Mile,Yaak_River,48.624601,-115.715797,167,0.000101756,0.003165676,0.003267432,0.996732568,0
,S17mile_23_154,Seventeen_Mile,Yaak_River,48.624601,-115.715797,175,9.18E-05,0.005296631,0.005388441,0.994611559,0
,S17mile_23_155,Seventeen_Mile,Yaak_River,48.624601,-115.715797,179,7.19E-06,0.008834903,0.00884209,0.99115791,0
,S17mile_23_156,Seventeen_Mile,Yaak_River,48.624601,-115.715797,156,0.000327515,0.00274706,0.003074576,0.996925424,0
,S17mile_23_157,Seventeen_Mile,Yaak_River,48.624601,-115.715797,173,0,0,0,1,0
,S17mile_23_158,Seventeen_Mile,Yaak_River,48.624601,-115.715797,128,0.000397446,0.009035453,0.0094329,0.9905671,0
,S17mile_23_159,Seventeen_Mile,Yaak_River,48.624601,-115.715797,134,0.000341658,0.016575026,0.016916684,0.983083316,0
,S17mile_23_160,Seventeen_Mile,Yaak_River,48.624601,-115.715797,162,0.001809752,0.001136033,0.002945785,0.997054215,0
,S17mile_23_161,Seventeen_Mile,Yaak_River,48.624601,-115.715797,134,0.000711967,4.24E-03,0.004954374,0.995045626,0
,S17mile_23_162,Seventeen_Mile,Yaak_River,48.624601,-115.715797,122,0.000485152,0.005274508,0.00575966,0.99424034,0
,S17mile_23_163,Seventeen_Mile,Yaak_River,48.624601,-115.715797,119,0.000396439,0.006100977,0.006497415,0.993502585,0
,S17mile_23_164,Seventeen_Mile,Yaak_River,48.624601,-115.715797,78,0.000110136,6.25E-03,0.006355346,0.993644654,0
,S17mile_23_165,Seventeen_Mile,Yaak_River,48.624601,-115.715797,67,0.000436289,0.004914548,0.005350837,0.994649163,0
,S17mile_23_166,Seventeen_Mile,Yaak_River,48.624601,-115.715797,69,0,0,0,1,0
,S17mile_23_168,Seventeen_Mile,Yaak_River,48.624601,-115.715797,83,0,0,0,1,0
,S17mile_23_169,Seventeen_Mile,Yaak_River,48.624601,-115.715797,107,0.000501639,0.003767373,0.004269012,0.995730988,0
,S17mile_23_170,Seventeen_Mile,Yaak_River,48.62832,-115.71669,183,0.000407396,0.011428062,0.011835459,0.988164541,0
,S17mile_23_171,Seventeen_Mile,Yaak_River,48.62832,-115.71669,145,0.000282348,0.009208894,0.009491242,0.990508758,0
,S17mile_23_172,Seventeen_Mile,Yaak_River,48.62832,-115.71669,182,7.62E-05,0.003011001,0.003087157,0.996912843,0
,S17mile_23_173,Seventeen_Mile,Yaak_River,48.62832,-115.71669,125,0.000166952,0.013235215,0.013402167,0.986597833,0
,S17mile_23_174,Seventeen_Mile,Yaak_River,48.62832,-115.71669,128,0.000146705,0.004652427,0.004799132,0.995200868,0
,S17mile_23_175,Seventeen_Mile,Yaak_River,48.62832,-115.71669,96,6.99E-05,0.01667567,0.01674556,0.98325444,0
,S17mile_23_176,Seventeen_Mile,Yaak_River,48.62832,-115.71669,165,6.96E-05,0.003613306,0.003682922,0.996317078,0
,S17mile_23_177,Seventeen_Mile,Yaak_River,48.62832,-115.71669,175,0.046603934,0.273135227,0.319739161,0.680260839,0
,S17mile_23_178,Seventeen_Mile,Yaak_River,48.62832,-115.71669,180,0.000625914,0.000996807,0.001622721,0.998377279,0
,S17mile_23_179,Seventeen_Mile,Yaak_River,48.62832,-115.71669,165,0.014626603,0.099994883,0.114621486,0.885378514,0
,S17mile_23_180,Seventeen_Mile,Yaak_River,48.62832,-115.71669,138,0.000193129,0.007615908,0.007809037,0.992190963,0
,,,,,,,,,,,
,Flattail_23_271,Flattail,Yaak_River,48.623942,-115.714085,144,0,0.004624429,0.004624429,0.995375571,0
,Flattail_23_272,Flattail,Yaak_River,48.623942,-115.714085,173,0.000650479,0.003035366,0.003685845,0.996314155,0
,Flattail_23_273,Flattail,Yaak_River,48.623942,-115.714085,176,0.000374214,0.004034358,0.004408571,0.995591429,0.00E+00
,Flattail_23_274,Flattail,Yaak_River,48.623942,-115.714085,187,0.000182585,0.019249076,0.019431661,0.980568339,0
,Flattail_23_275,Flattail,Yaak_River,48.623942,-115.714085,168,0.000518095,0.004573648,0.005091743,0.994908257,0
,Flattail_23_276,Flattail,Yaak_River,48.623942,-115.714085,194,6.66E-07,0.00710318,0.007103846,0.992896154,0
,Flattail_23_277,Flattail,Yaak_River,48.623942,-115.714085,161,0.000487832,0.005071912,0.005559744,0.994440256,0.00E+00
,Flattail_23_278,Flattail,Yaak_River,48.623942,-115.714085,146,2.46E-07,0.001399643,0.001399889,0.998600111,0
,Flattail_23_279,Flattail,Yaak_River,48.623942,-115.714085,78,0.003522341,0.033819435,0.037341776,0.962658224,0
,Flattail_23_280,Flattail,Yaak_River,48.623942,-115.714085,78,5.77E-05,0.003441331,0.003499076,0.996500924,0
,Flattail_23_281,Flattail,Yaak_River,48.623942,-115.714085,75,0.003241807,0.02584118,0.029082987,0.970917013,0.00E+00
,Flattail_23_282,Flattail,Yaak_River,48.623942,-115.714085,153,0.001074411,0.030909146,0.031983557,0.968016443,0
,Flattail_23_283,Flattail,Yaak_River,48.623942,-115.714085,75,0.000520572,0.002040313,0.002560885,0.997439115,0
,Flattail_23_284,Flattail,Yaak_River,48.623942,-115.714085,145,0.000688763,0.025993642,0.026682404,0.973317596,0
,Flattail_23_285,Flattail,Yaak_River,48.623942,-115.714085,154,0.000954772,0.006026215,0.006980987,0.993019013,0
,Flattail_23_286,Flattail,Yaak_River,48.623942,-115.714085,NA,0.000430668,0.017013794,0.017444462,0.982555538,0
,,,,,,,,,,,
