Sample_ID	RBT_ELAI	WCT_ELAI	YCT_ELAI	# Heterokaryotypic Inversions
Bram_17_05	0.047567881	0.952432119	0	0
Bram_17_06	0.029171778	0.970828222	0	0
Bram_17_07	0.024098192	0.975901808	0	0
Bram_17_08	0.020394954	0.979605046	0	0
Bram_17_09	0.015999564	0.984000436	0	0
Bram_17_10	0.028722441	0.971277559	0	0
Bram_17_11	0.01433757	0.98566243	0	0
Bram_17_12	0.020038964	0.979961036	0	0
Bram_17_13	0.022080199	0.977919801	0	0
Bram_17_14	0.039532129	0.960467871	0	0
Bram_17_15	0.011501543	0.988498457	0	0
Bram_17_16	0.01219137	0.98780863	0	0
Bram_17_17	0.007969601	0.992030399	0	0
Bram_17_18	0.031415875	0.968584125	0	0
Bram_17_19	0.008272123	0.991727877	0	0
Bram_17_20	0.010409972	0.989590028	0	0
Bram_17_21	0.044625459	0.955374541	0	0
Bram_17_22	0.024005303	0.975994697	0	0
Bram_17_23	0.019081672	0.980918328	0	0
Bram_17_24	0.033787849	0.966212151	0	0
Bram_17_25	0.024598132	0.975401868	0	0
Bram_17_26	0.018042154	0.981957846	0	0
Bram_17_27	0.029121396	0.970878604	0	0
Bram_17_28	0.008093154	0.991906846	0	0
Bram_17_29	0.012491267	0.987508733	0	0
Bram_17_30	0.019378982	0.980621018	0	0
BRAM_19_01	0.873752239	0.00682564	0.11942212	0
BRAM_19_02	0.85249099	0.005768155	0.141740855	0
BRAM_19_03	0.888828305	0.004059084	0.107112611	0
BRAM_19_04	0.855005923	0.00724038	0.137753698	0
BRAM_19_05	0.857372829	0.00763741	0.134989761	0
BRAM_19_06	0.85003655	0.002384196	0.147579254	0
BRAM_19_07	0.880789692	0.004561742	0.114648566	0
BRAM_19_08	0.863045608	0.002587633	0.134366759	0
BRAM_19_09	0.857685957	0.001491216	0.140822827	0
BRAM_19_10	0.872624846	0.008088976	0.119286178	0
BRAM_19_11	0.883008877	0.00687658	0.110114544	0
BRAM_19_12	0.888831645	0.00827556	0.102892795	0
BRAM_19_13	0.848961028	0.00731776	0.143721212	0
BRAM_19_14	0.89501559	0.005691315	0.099293095	0
BRAM_19_15	0.908897119	0.007653114	0.083449767	0
BRAM_19_16	0.881778985	0.013424608	0.104796407	0
BRAM_19_17	0.895674481	0.007658175	0.096667344	0
BRAM_19_18	0.845954247	0.007239669	0.146806084	0
BRAM_19_19	0.858384676	0.007246507	0.134368817	0
BRAM_19_20	0.868481325	0.005951511	0.125567164	0
BRAM_19_21	0.875272132	0.008169508	0.116558359	0
BRAM_19_22	0.907738549	0.013715242	0.078546209	0
BRAM_19_23	0.896789165	0.00731699	0.095893845	0
BRAM_19_24	0.863263474	0.002261629	0.134474897	0
