Sample_ID	pCRT	pIRT	pRBT	pWCT	pYCT
BearCreek_20_056	0.039215686	0.944915254	0.994806459	0.006686876	0.000204026
BearCreek_20_057	0.078431373	0.919491525	0.989790938	0.009823183	6.79902E-05
BearCreek_20_058	0.051020408	0.963963964	0.993927799	0.006291028	0.000139704
BearCreek_20_059	0.019607843	0.978070175	0.994276668	0.006251116	6.7944E-05
BearCreek_20_060	0	0.982758621	0.98895483	0.011636298	6.85589E-05
BearCreek_20_061	0.051020408	0.959821429	0.997288825	0.002408299	0
BearCreek_20_062	0.058823529	0.935344828	0.996441857	0.004080908	6.77231E-05
BearCreek_20_063	0.029411765	0.961864407	0.994290111	0.005596021	6.77874E-05
BearCreek_20_064	0	0.974358974	0.990412621	0.010131532	0.000135208
BearCreek_20_065	0.029411765	0.961864407	0.988791778	0.011739594	0.000270966
BearCreek_20_066	0.019607843	0.97008547	0.990463876	0.009492548	6.76773E-05
BearCreek_20_067	0.039215686	0.956521739	0.994107537	0.002429806	0.000137476
BearCreek_20_068	0.019607843	0.944444444	0.99588145	0.003278979	0.000202922
BearCreek_20_069	0.040816327	0.977272727	0.996560847	0.002996327	7.45045E-05
BearCreek_20_070	0.166666667	0.893162393	0.971787596	0.027392387	0.000541126
BearCreek_20_071	0.078431373	0.966101695	0.996287628	0.003984417	0.000135281
BearCreek_20_072	0.009803922	1	0.997672329	0.003949731	0
BearCreek_20_073	0.010416667	0.944954128	0.994659897	0.005129694	0
BearCreek_20_074	0.009803922	0.97826087	0.989864313	0.007972053	0
BearCreek_20_075	0.019607843	0.969565217	0.992124326	0.006860745	7.07114E-05
BearCreek_20_076	0.068627451	0.876068376	0.994347545	0.007898474	6.75676E-05
BearCreek_20_077	0.009803922	0.978448276	0.99791189	0.00459708	0.000137476
BearCreek_20_078	0.05952381	0.971153846	0.996273066	0.004789463	0.000231054
BearCreek_20_079	0.019607843	0.957627119	0.995636716	0.004968062	0
BearCreek_20_080	0.009803922	0.957264957	0.990427337	0.010734564	0.000135373
BearCreek_20_081	0.029411765	0.935897436	0.997630913	0.003774263	0.000204806
BearCreek_20_082	0.058823529	0.953389831	0.996445306	0.004790632	0
BearCreek_20_083	0.011904762	0.961956522	0.995362381	0.003831418	0.000276957
BearCreek_20_084	0.086956522	0.951456311	0.990170502	0.01	0.000315806
BearCreek_20_085	0.04	0.948275862	0.995814709	0.004097631	0.00047645
BearCreek_20_087	0.029411765	0.991071429	0.997327083	0.00234869	0.000138466
BearCreek_20_089	0.019607843	0.99137931	0.994947437	0.006352899	0.0001365
BearCreek_20_090	0.058823529	0.98245614	0.997449806	0.002493766	0.000271739
BearCreek_20_091	0.078431373	0.895652174	0.985057376	0.013818182	0
BearCreek_20_092	0.03	0.909482759	0.985133796	0.01364047	0.000276243
BearCreek_20_093	0.072916667	0.961956522	0.997831027	0.002786447	8.61475E-05
BearCreek_20_094	0.029411765	0.973451327	0.998553958	0.002082579	6.90417E-05
BearCreek_20_095	0.009803922	0.973451327	0.988147427	0.015110873	6.77874E-05
BearCreek_20_096	0.039215686	0.953389831	0.995238095	0.005939716	0.00020284
BearCreek_20_097	0.009803922	0.966101695	0.99753794	0.003808006	6.76224E-05
BearCreek_20_098	0.043478261	0.984848485	0.991008853	0.012844037	0
BearCreek_20_099	0.009803922	0.959821429	0.989555173	0.009387976	0.000137325
BearCreek_20_100	0.039215686	0.974576271	0.991829801	0.008963436	0.000135428
BearNF_23_17	0	0	0.007886282	0.000316723	0.988504768
BearUp_22_01	0	0.995762712	0.998908473	0.002131439	0
BearUp_22_02_1	0	0.995726496	0.999313353	0.001329551	0
BearUp_22_02	0	1	0.999366172	0.000885304	0
BearUp_22_03	0	0.995412844	0.997913901	0.003435353	0
BearUp_22_04	0	1	0.998910148	0.002038646	0
BearUp_22_05	0	1	0.998990715	0.001685294	0
BearUp_22_06	0	1	0.997495354	0.004083082	0
BearUp_22_07	0	1	0.999434298	0.000354799	6.7595E-05
BearUp_22_08	0	1	0.994984225	0.007922378	0
BearUp_22_09	0	1	0.999151378	0.000709849	0
BearUp_22_100	0	1	0.998229099	0.002382926	0
BearUp_22_101	0	0.986842105	0.995756141	0.003569516	6.8306E-05
BearUp_22_103	0	1	0.99815419	0.002088872	0
BearUp_22_105	0	0.995726496	0.996878547	0.003829711	0
BearUp_22_106	0	0.991525424	0.993450311	0.006927176	0
BearUp_22_107	0	0.995762712	0.99430809	0.006648936	0
BearUp_22_108	0	1	0.997943423	0.003410767	0
BearUp_22_109	0	0.995762712	0.998699821	0.002228164	0
BearUp_22_10	0	1	0.994739398	0.005870841	0
BearUp_22_110	0	1	0.998691207	0.00207058	0
BearUp_22_111	0	0.995652174	0.99943384	0.00133144	0
BearUp_22_112	0	0.978448276	0.989232895	0.008629893	0
BearUp_22_113	0	1	0.997423734	0.003571429	0
BearUp_22_114	0	1	0.998460541	0.001870657	0
BearUp_22_115	0	1	0.997457011	0.002924495	6.75767E-05
BearUp_22_116	0	1	0.996730707	0.002924495	0
BearUp_22_117	0	1	0.994834879	0.005089286	0
BearUp_22_118	0	1	0.999826026	0.000285497	0
BearUp_22_119	0	1	0.996520473	0.002485795	0
BearUp_22_11	0	1	0.997455984	0.002927608	0
BearUp_22_120	0	1	0.998989572	0.000886839	6.7769E-05
BearUp_22_121	0	1	0.998138104	0.002937511	0
BearUp_22_12	0	1	0.996329165	0.003813409	0
BearUp_22_13	0	1	0.997490082	0.00372737	0
BearUp_22_14	0	1	0.999346565	0.001801802	0
BearUp_22_15	0	1	0.999110967	0.001684099	0
BearUp_22_16	0	0.995762712	0.998423096	0.001953819	0
BearUp_22_17	0	1	0.999108229	0.001068566	0
BearUp_22_18	0	1	0.996516808	0.003733997	0
BearUp_22_19	0	1	0.998385404	0.00177305	6.76041E-05
BearUp_22_20	0	1	0.998804598	0.002428658	0
BearUp_22_21	0	0.974576271	0.993938414	0.005250044	0
BearUp_22_22	0	1	0.998120608	0.00215556	0
BearUp_22_23	0	1	0.998650748	0.001617251	0
BearUp_22_24	0	1	0.999394429	0.000976043	0
BearUp_22_25	0	0.974576271	0.988748583	0.011634103	0
BearUp_22_26	0	1	0.997083603	0.00552979	0
BearUp_22_27	0	1	0.999676768	0.001330495	6.75767E-05
BearUp_22_28	0	1	0.998223227	0.003372981	0
BearUp_22_29	0	0.995689655	0.999622831	0.000460151	0
BearUp_22_30	0	1	0.999509996	0.000649773	0
BearUp_22_31	0	1	0.998870056	0.001950355	0
BearUp_22_32	0	0.995726496	0.999474578	0.0009783	0
BearUp_22_33	0	1	0.998786408	0.001684995	0
BearUp_22_34	0	0.985576923	0.996130383	0.002490536	0
BearUp_22_35	0	1	0.997120843	0.003843404	0
BearUp_22_36	0	1	0.998545925	0.002746279	0
BearUp_22_37	0	1	0.998464895	0.002661934	0
BearUp_22_39	0	1	0.996564268	0.004174067	0
BearUp_22_41	0	1	0.996872654	0.002849789	0
BearUp_22_44	0	1	0.999148488	0.0009783	0
BearUp_22_45	0	0.995762712	0.998465019	0.002038284	0
BearUp_22_46	0	0.987179487	0.997170803	0.003459287	0
BearUp_22_47	0	1	0.998989736	0.001862693	6.76224E-05
BearUp_22_48	0	1	0.998704349	0.001599716	0
BearUp_22_49	0	1	0.997710361	0.002689618	0
BearUp_22_50	0	1	0.995509345	0.007035981	0
BearUp_22_51	0	1	0.999509924	0.000714669	0
BearUp_22_52	0	1	0.996080491	0.004526895	0
BearUp_22_54	0	0.991525424	0.995612253	0.005007153	0
BearUp_22_55	0	1	0.997801195	0.002988048	0
BearUp_22_56	0	1	0.996161616	0.005414522	0
BearUp_22_59	0	1	0.996707585	0.004556826	0
BearUp_22_60	0	1	0.999513619	0.000622444	0
BearUp_22_61	0	0.970338983	0.990485913	0.011619592	0
BearUp_22_62	0	1	0.995916552	0.003634752	0
BearUp_22_63	0	0.995762712	0.999514916	0.000976909	0
BearUp_22_64	0	0.995762712	0.998547333	0.003104488	0
BearUp_22_65	0	0.995762712	0.997559785	0.005270681	0
BearUp_22_66	0	0.995689655	0.994764614	0.003703035	0
BearUp_22_67	0	1	0.999675851	0.000622112	0
BearUp_22_68	0	1	0.997744959	0.002557042	0
BearUp_22_69	0	1	0.999473471	0.000622444	0
BearUp_22_70	0	1	0.999797193	0.000178094	0
BearUp_22_71	0	1	0.998826196	0.001513263	0
BearUp_22_72	0	1	0.99951566	8.86839E-05	0
BearUp_22_73	0	1	0.999713701	0.000449883	6.87947E-05
BearUp_22_74	0	1	0.998747879	0.00248227	0
BearUp_22_75	0	0.995049505	0.998365227	0.002526316	0
BearUp_22_77	0	0.995762712	0.998664292	0.002663352	0
BearUp_22_78	0	1	0.997780468	0.002570466	0
BearUp_22_80	0	1	0.998662018	0.001956947	6.80457E-05
BearUp_22_81	0	1	0.993516492	0.005770597	0
