sample_id	population	group
Wolf_24_019	Wolf_24	Kootenai
Wolf_24_020	Wolf_24	Kootenai
Wolf_24_021	Wolf_24	Kootenai
Wolf_24_022	Wolf_24	Kootenai
Wolf_24_023	Wolf_24	Kootenai
Wolf_24_024	Wolf_24	Kootenai
Wolf_24_025	Wolf_24	Kootenai
Wolf_24_026	Wolf_24	Kootenai
Wolf_24_027	Wolf_24	Kootenai
Wolf_24_028	Wolf_24	Kootenai
Wolf_24_029	Wolf_24	Kootenai
Wolf_24_030	Wolf_24	Kootenai
Wolf_24_031	Wolf_24	Kootenai
Wolf_24_032	Wolf_24	Kootenai
Wolf_24_033	Wolf_24	Kootenai
Wolf_24_034	Wolf_24	Kootenai
Wolf_24_035	Wolf_24	Kootenai
Wolf_24_036	Wolf_24	Kootenai
Wolf_24_037	Wolf_24	Kootenai
Wolf_24_038	Wolf_24	Kootenai
Wolf_24_039	Wolf_24	Kootenai
Wolf_24_040	Wolf_24	Kootenai
Wolf_24_041	Wolf_24	Kootenai
Wolf_24_042	Wolf_24	Kootenai
Wolf_24_043	Wolf_24	Kootenai
Wolf_24_044	Wolf_24	Kootenai
Wolf_24_045	Wolf_24	Kootenai
Wolf_24_046	Wolf_24	Kootenai
Wolf_24_047	Wolf_24	Kootenai
Wolf_24_048	Wolf_24	Kootenai
Wolf_24_050	Wolf_24	Kootenai
Wolf_24_051	Wolf_24	Kootenai
Wolf_24_052	Wolf_24	Kootenai
Wolf_24_055	Wolf_24	Kootenai
Wolf_24_056	Wolf_24	Kootenai
Wolf_24_057	Wolf_24	Kootenai
Wolf_24_058	Wolf_24	Kootenai
Wolf_24_059	Wolf_24	Kootenai
Wolf_24_060	Wolf_24	Kootenai
Wolf_24_061	Wolf_24	Kootenai
Wolf_24_062	Wolf_24	Kootenai
Wolf_24_063	Wolf_24	Kootenai
Wolf_24_065	Wolf_24	Kootenai
Wolf_24_066	Wolf_24	Kootenai
Wolf_24_067	Wolf_24	Kootenai
Wolf_24_068	Wolf_24	Kootenai
Wolf_24_069	Wolf_24	Kootenai
Wolf_24_070	Wolf_24	Kootenai
Wolf_24_071	Wolf_24	Kootenai
Wolf_24_072	Wolf_24	Kootenai
Wolf_24_073	Wolf_24	Kootenai
Wolf_24_074	Wolf_24	Kootenai
Wolf_24_075	Wolf_24	Kootenai
Wolf_24_076	Wolf_24	Kootenai
Wolf_24_077	Wolf_24	Kootenai
Wolf_24_078	Wolf_24	Kootenai
Wolf_24_079	Wolf_24	Kootenai
Wolf_24_080	Wolf_24	Kootenai
Wolf_24_081	Wolf_24	Kootenai
Wolf_24_082	Wolf_24	Kootenai
Wolf_24_083	Wolf_24	Kootenai
Wolf_24_084	Wolf_24	Kootenai
Wolf_24_085	Wolf_24	Kootenai
Wolf_24_086	Wolf_24	Kootenai
Wolf_24_087	Wolf_24	Kootenai
Wolf_24_088	Wolf_24	Kootenai
Wolf_24_089	Wolf_24	Kootenai
Wolf_24_090	Wolf_24	Kootenai
Wolf_24_091	Wolf_24	Kootenai
Wolf_24_092	Wolf_24	Kootenai
Wolf_24_093	Wolf_24	Kootenai
Wolf_24_094	Wolf_24	Kootenai
Wolf_24_095	Wolf_24	Kootenai
Wolf_24_096	Wolf_24	Kootenai
Wolf_24_097	Wolf_24	Kootenai
Wolf_24_098	Wolf_24	Kootenai
Wolf_24_099	Wolf_24	Kootenai
Wolf_24_100	Wolf_24	Kootenai
Wolf_24_101	Wolf_24	Kootenai
Wolf_24_102	Wolf_24	Kootenai
Wolf_24_103	Wolf_24	Kootenai
Wolf_24_104	Wolf_24	Kootenai
Wolf_24_105	Wolf_24	Kootenai
Wolf_24_106	Wolf_24	Kootenai
Wolf_24_107	Wolf_24	Kootenai
Wolf_24_108	Wolf_24	Kootenai
Wolf_24_109	Wolf_24	Kootenai
Wolf_24_110	Wolf_24	Kootenai
Wolf_24_111	Wolf_24	Kootenai
Wolf_24_112	Wolf_24	Kootenai
Wolf_24_113	Wolf_24	Kootenai
Wolf_24_114	Wolf_24	Kootenai
Wolf_24_115	Wolf_24	Kootenai
Wolf_24_116	Wolf_24	Kootenai
Wolf_24_117	Wolf_24	Kootenai
Wolf_24_118	Wolf_24	Kootenai
Wolf_24_119	Wolf_24	Kootenai
Wolf_24_120	Wolf_24	Kootenai
Wolf_24_121	Wolf_24	Kootenai
Wolf_24_122	Wolf_24	Kootenai
Wolf_24_123	Wolf_24	Kootenai
