Sample_ID	CRT	IRT	RBT	WCT	YCT
GraniteAB_19_24	0.003189345	0.987271848	0.990461193	0.00953794	0.000000867
GraniteAB_19_25	0.004257713	0.979695397	0.98395311	0.01604689	0
GraniteAB_19_26	0.009123748	0.977004585	0.986128332	0.013871668	0
GraniteAB_19_27	0.004469376	0.984698422	0.989167797	0.010832203	0
GraniteAB_19_28	0.006173893	0.979609328	0.98578322	0.01421678	0
GraniteAB_19_29	0.002221466	0.982924911	0.985146377	0.014853623	0
GraniteAB_19_30	0.004713199	0.982160872	0.986874071	0.013125929	0
GraniteBL_19_01	0.019794307	0.967858466	0.987652773	0.012347227	0
GraniteBL_19_01_R	0.020008548	0.96827445	0.988282998	0.011717002	0
GraniteBL_19_02	0.140295372	0.845332875	0.985628247	0.014371753	0
GraniteBL_19_03	0.09798512	0.889982927	0.987968047	0.012031953	0
GraniteBL_19_04	0.067358333	0.917124614	0.984482948	0.015517052	0
GraniteBL_19_05	0.047191337	0.940713774	0.987905111	0.012094867	2.17E-08
GraniteBL_19_06	0.085759244	0.909030967	0.994790211	0.005209789	0
GraniteBL_19_07	0.160223325	0.823070965	0.983294291	0.016705709	0
GraniteBL_19_08	0.086719404	0.903701972	0.990421375	0.009578625	0
GraniteBL_19_09	0.1065735	0.880783368	0.987356868	0.012643132	0
GraniteBL_19_10	0.085512329	0.906849227	0.992361556	0.007638444	0
GraniteBL_19_11	0.030668944	0.961426685	0.992095629	0.007904371	0
GraniteBL_19_12	0.097674402	0.895382007	0.993056409	0.006943591	0
GraniteBL_19_13	0.13862921	0.851221328	0.989850538	0.010051595	0.0000979
GraniteBL_19_14	0.061326002	0.920696526	0.982022528	0.017977472	0
GraniteBL_19_15	0.061533599	0.924602419	0.986136018	0.013863982	0
GraniteBL_19_16	0.005577398	0.984999853	0.990577251	0.009422749	0
GraniteBL_19_17	0.03795211	0.952651182	0.990603292	0.009396708	0
GraniteBL_19_18	0.021673998	0.968671116	0.990345114	0.009654886	0
GraniteBL_19_19	0.044894457	0.939517098	0.984411555	0.015588445	0
GraniteBL_19_20	0.043027214	0.944919322	0.987946536	0.012053464	0
GraniteBL_19_21	0.016174432	0.96683165	0.983006082	0.016993918	0
GraniteBL_19_22	0.024158594	0.957979897	0.982138491	0.017861509	0
GraniteBL_19_23	0.028540726	0.956761828	0.985302553	0.014697447	0
GraniteBL_19_24	0.010721655	0.97169099	0.982412645	0.017587355	0
GraniteBL_19_25	0.003446225	0.978504181	0.981950405	0.018049595	0
GraniteBL_19_26	0.004087358	0.981742778	0.985830136	0.014169864	0
GraniteBL_19_27	0.019063543	0.963933593	0.982997136	0.017002864	0
GraniteBL_19_28	0.003251399	0.98387874	0.987130139	0.012869861	0
GraniteBL_19_30	0.003976579	0.986572712	0.990549291	0.009450709	0
Greenough2_23_24	0.700102998	0.060727111	0.760830108	0.239169759	0.000000133
GreggG2_21_10	0.061906042	0.934446952	0.996352994	0.003647006	0
GreggG2_21_13	0.07114603	0.926948684	0.998094714	0.001905286	0
GreggG2_21_16	0.087179099	0.910511619	0.997690719	0.002309281	0
GreggG2_21_17	0.042229736	0.956314247	0.998543983	0.001456017	0
GreggG2_21_23	0.092781024	0.90497012	0.997751143	0.002248857	0
GreggG2_21_24	0.044182922	0.953004627	0.997187549	0.002812451	0
